                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                 1.0308,                 1.9727,                 1.2501,                 0.6655,                0.71737,                0.74282,                0.53173,                 1.0493,                 1.1745,                 1.1584,             0.00024211,             0.00024211,             0.00024211
                     64,                 1.0472,                 1.9296,                 1.2493,                0.69181,                0.71137,                0.75961,                0.58995,                0.85467,                 1.1593,                 1.0552,             0.00024141,             0.00024141,             0.00024141
                     65,                 1.0325,                 1.9555,                  1.271,                0.68814,                0.73192,                0.77273,                0.59104,                0.89411,                 1.1196,                 1.0691,              0.0002407,              0.0002407,              0.0002407
                     66,                 1.0272,                 1.9627,                  1.276,                0.73806,                0.67277,                0.74747,                0.55399,                0.94544,                 1.2087,                 1.0965,             0.00023999,             0.00023999,             0.00023999
                     67,                 1.0446,                 1.9217,                 1.2672,                0.68743,                0.74572,                0.76597,                0.57045,                0.97466,                  1.114,                 1.1028,             0.00023928,             0.00023928,             0.00023928
                     68,                 1.0176,                 1.8573,                 1.2502,                0.73357,                0.69167,                0.76627,                0.58318,                0.92468,                 1.0965,                  1.085,             0.00023857,             0.00023857,             0.00023857
                     69,                 1.0218,                  1.869,                 1.2516,                0.68339,                0.72441,                0.76062,                0.59248,                0.85703,                  1.093,                 1.0537,             0.00023787,             0.00023787,             0.00023787
                     70,                   1.05,                 1.8729,                 1.2958,                0.74337,                0.70691,                0.77225,                0.59291,                0.89023,                 1.0883,                 1.0616,             0.00023716,             0.00023716,             0.00023716
                     71,                 1.0476,                 1.9089,                 1.2558,                0.72464,                0.73312,                0.78207,                0.58758,                0.91713,                 1.0908,                 1.0748,             0.00023645,             0.00023645,             0.00023645
                     72,                  1.048,                 1.8565,                 1.2821,                0.73403,                0.73794,                0.78271,                0.58502,                0.93392,                 1.0734,                  1.084,             0.00023574,             0.00023574,             0.00023574
                     73,                 1.0355,                 1.9021,                 1.2619,                0.76865,                0.72967,                0.79711,                0.57856,                 1.0381,                 1.0598,                 1.1356,             0.00023503,             0.00023503,             0.00023503
                     74,                 1.0423,                 1.8608,                 1.2502,                0.74468,                0.76465,                0.79967,                0.60467,                0.94462,                 1.0361,                 1.0822,             0.00023433,             0.00023433,             0.00023433
                     75,                 1.0436,                 1.8775,                 1.2624,                0.77153,                0.73407,                0.79561,                0.60968,                0.90356,                 1.0308,                 1.0734,             0.00023362,             0.00023362,             0.00023362
                     76,                 1.0275,                 1.8127,                  1.269,                0.74145,                0.74627,                0.78837,                0.60836,                0.89073,                 1.0507,                 1.0728,             0.00023291,             0.00023291,             0.00023291
                     77,                 1.0317,                 1.9069,                 1.2652,                0.77226,                0.75177,                 0.8022,                0.56405,                 1.1196,                 1.0422,                 1.1759,              0.0002322,              0.0002322,              0.0002322
                     78,                 1.0121,                 1.7945,                 1.2322,                0.77275,                0.74094,                0.80622,                0.62254,                0.87169,                 1.0237,                 1.0507,              0.0002315,              0.0002315,              0.0002315
                     79,                 1.0151,                 1.7674,                 1.2509,                0.74061,                0.78455,                0.81491,                0.62457,                0.89139,                 1.0077,                 1.0686,             0.00023079,             0.00023079,             0.00023079
                     80,                 1.0326,                 1.8028,                 1.2444,                0.74139,                0.77696,                0.82079,                0.61902,                0.92774,                  1.005,                  1.079,             0.00023008,             0.00023008,             0.00023008
                     81,                 1.0097,                 1.7927,                 1.2367,                0.75809,                0.74246,                0.81569,                0.60352,                0.97358,                 1.0076,                 1.1039,             0.00022937,             0.00022937,             0.00022937
                     82,                 1.0199,                  1.771,                 1.2335,                0.75278,                0.74684,                0.82176,                0.58965,                 1.0558,                 1.0212,                 1.1399,             0.00022866,             0.00022866,             0.00022866
                     83,                 1.0002,                 1.7405,                 1.2381,                0.78439,                0.74789,                0.82418,                0.62942,                0.90866,                0.97617,                 1.0601,             0.00022796,             0.00022796,             0.00022796
                     84,                0.99413,                 1.7503,                 1.2307,                0.76336,                0.78104,                0.82548,                0.65878,                0.79846,                0.99525,                 1.0184,             0.00022725,             0.00022725,             0.00022725
                     85,                 1.0235,                 1.7654,                 1.2691,                0.78768,                0.78429,                0.83812,                0.63743,                 0.9376,                0.95904,                 1.0703,             0.00022654,             0.00022654,             0.00022654
                     86,                0.99176,                 1.7202,                 1.2173,                0.79159,                 0.7991,                0.84641,                0.63321,                0.94702,                0.96748,                  1.081,             0.00022583,             0.00022583,             0.00022583
                     87,                 1.0312,                 1.8028,                 1.2462,                0.77112,                0.75333,                0.83096,                0.65261,                 0.8418,                0.94617,                 1.0332,             0.00022512,             0.00022512,             0.00022512
                     88,                 1.0118,                 1.7453,                  1.232,                0.79632,                0.77783,                0.83675,                0.64244,                0.89266,                 0.9332,                 1.0598,             0.00022442,             0.00022442,             0.00022442
                     89,                0.98172,                 1.7335,                 1.2162,                0.76918,                0.75744,                 0.8301,                0.63799,                0.89498,                0.95373,                 1.0595,             0.00022371,             0.00022371,             0.00022371
                     90,                 1.0154,                 1.7382,                 1.2434,                0.81572,                0.78281,                0.84231,                0.61464,                 1.0371,                0.94982,                 1.1227,               0.000223,               0.000223,               0.000223
                     91,                 1.0226,                 1.7492,                 1.2412,                0.79332,                0.79884,                0.84482,                0.65698,                0.87505,                0.90867,                 1.0454,             0.00022229,             0.00022229,             0.00022229
                     92,                0.97401,                 1.6454,                 1.2038,                0.78205,                0.77699,                0.84205,                0.64525,                0.90502,                0.92532,                 1.0582,             0.00022159,             0.00022159,             0.00022159
                     93,                 1.0064,                 1.7143,                 1.2454,                0.82164,                0.77582,                0.85746,                0.65255,                 0.8937,                0.88672,                 1.0589,             0.00022088,             0.00022088,             0.00022088
                     94,                0.98351,                 1.6719,                 1.2155,                0.81778,                0.78701,                0.85514,                0.62788,                0.96988,                0.90388,                 1.0933,             0.00022017,             0.00022017,             0.00022017
                     95,                0.99075,                 1.6499,                 1.2266,                0.80469,                0.80344,                0.84581,                 0.6467,                0.88644,                0.90089,                 1.0461,             0.00021946,             0.00021946,             0.00021946
                     96,                 1.0063,                 1.7057,                 1.2593,                 0.7885,                0.79421,                0.85747,                0.66296,                0.86527,                0.87671,                 1.0424,             0.00021875,             0.00021875,             0.00021875
                     97,                0.98355,                 1.6652,                 1.2139,                0.80147,                0.78337,                0.85003,                0.67633,                0.80017,                0.89743,                 1.0229,             0.00021805,             0.00021805,             0.00021805
                     98,                 1.0064,                 1.6927,                 1.2177,                0.84356,                0.78326,                0.86977,                0.69334,                0.80848,                0.84689,                 1.0153,             0.00021734,             0.00021734,             0.00021734
                     99,                0.97672,                 1.6397,                 1.2394,                0.82682,                0.78461,                0.85704,                0.65406,                0.87969,                 0.8877,                  1.055,             0.00021663,             0.00021663,             0.00021663
                    100,                0.98856,                 1.6511,                 1.2099,                0.79251,                0.80195,                0.85467,                  0.643,                0.91786,                0.87505,                 1.0694,             0.00021592,             0.00021592,             0.00021592
                    101,                0.99566,                 1.6276,                 1.2242,                0.80782,                0.81582,                0.86864,                0.66921,                0.89811,                0.86289,                 1.0548,             0.00021521,             0.00021521,             0.00021521
                    102,                0.97077,                 1.6487,                 1.2083,                0.84387,                0.78574,                0.87604,                0.66657,                0.88605,                0.85177,                 1.0584,             0.00021451,             0.00021451,             0.00021451
                    103,                0.99493,                 1.6114,                 1.2175,                0.83688,                0.78363,                0.86811,                0.68671,                0.79742,                0.85987,                 1.0181,              0.0002138,              0.0002138,              0.0002138
                    104,                0.98664,                 1.6277,                 1.2313,                0.78434,                0.80236,                 0.8638,                0.67017,                 0.8688,                0.87567,                 1.0486,             0.00021309,             0.00021309,             0.00021309
